,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11
GOOD,10,10,10,10,10,10,10,10,10,10,10
BAD,0,0,0,0,0,0,0,0,0,0,0
UP,10,10,10,10,10,10,0,0,0,0,0
DOWN,0,0,0,0,0,10,10,10,10,10,10
A1,10,10,10,10,10,10,10,10,10,10,0
A2,10,10,10,10,10,10,10,10,10,0,0
A3,10,10,10,10,10,10,10,10,0,0,0
A4,10,10,10,10,10,10,10,0,0,0,0
A5,10,10,10,10,0,0,0,0,0,0,0
A6,10,10,10,0,0,0,0,0,0,0,0
A7,10,10,0,0,0,0,0,0,0,0,0
A8,10,0,0,0,0,0,0,0,0,0,0
A9,0,0,0,0,0,0,0,0,0,0,10
A10,0,0,0,0,0,0,0,0,0,10,10
A11,0,0,0,0,0,0,0,0,10,10,10
A12,0,0,0,0,0,0,0,10,10,10,10
A13,0,0,0,0,0,0,10,10,10,10,10
A14,0,0,0,0,10,10,10,10,10,10,10
A15,0,0,0,10,10,10,10,10,10,10,10
A16,0,0,10,10,10,10,10,10,10,10,10
A17,0,10,10,10,10,10,10,10,10,10,10
B1,6.5,2.5,2.5,4,5,2,3.5,0,6,3.5,2.5
B2,3.5,0.5,2.5,1.5,2.5,0,0,1,2,1,2.5
B3,7,6.5,8,7,4.5,6.5,7.5,7,5,7.5,5
B4,2,3,3,3.5,2,3.5,0,0,1,8,5
B5,6,2.5,4,5,6,3,4.5,2,2,7.5,7
B6,8.5,8.5,6.5,6,8,6,8,4.5,5,3.5,3.5
B7,7.5,3,8,5,8,1,6,4,5,0,0
B8,6,5.5,6,6,6,5.5,4,3,2,8.5,6
B9,8,5,4,4.5,7,7,5,4,6,1,2.5
B10,3,3.5,7,4,5.5,8,4,1,3,4,3.5
B11,3,3,1.5,1,0,3.5,0,1,0,7,0.5
B12,6,5,7.5,5,4.5,6,5,3.5,4,6,5.5
B13,6.5,5.5,3.5,4,5.5,3,4.5,3.5,4.5,6,5.5
B14,5.5,6,4,4,6.5,4.5,4,3.5,4,4,2.5
B15,3,3.5,6.5,2,6,4,3,5,5,3.5,3.5
B16,8,8,5.5,6,8,8,9,5,4.5,9,6
B17,6,4.5,6,4,3,4.5,4.5,4.5,4,5.5,5
B18,2,1,3,2,2.5,2,3,1.5,4,6,5
B19,2,4.5,4.5,2.5,3.5,5,2.5,2,2,2.5,4.5
B20,6.5,4.5,5.5,4,5,5.5,5,3.5,4,7.5,7
B21,4,7,6,4,3,5,3,3.5,3,2.5,5
B22,7,5,7,5.5,6,7,4,3.5,4.5,3,2
B23,5.5,4.5,3.5,3.5,5,4,1,2.5,2.5,1,1
B24,6,7.5,8,6.5,5,6,5,5,4,8.5,6.5
B25,7,2,5,7,6,4,5.5,0,5,2.5,3.5
